Ticket Key,Epic Key,Summary,Description,Owner,Estimate,Priority,Sprint,Dependencies,Labels,Acceptance Criteria
STLD-T2401,STLD-E2401,Implement canonical runtime policy decision point,Route every paid action path through one deterministic decision service returning allow/challenge/deny/escalate plus stable policy metadata.,Backend Platform,5d,Highest,S1,,"policy-runtime,enforcement,trust-os",Every paid action path calls policy runtime before execution; decision payload includes decision/reasonCode/policyHash/policyVersion/decisionId; identical input+policy produces identical output.
STLD-T2402,STLD-E2401,Publish stable reason code registry and API mapping,"Define schema-validated reason codes for denied/challenged/escalated outcomes and map them consistently across API, CLI, and SDK surfaces.",Backend Platform,3d,Highest,S1,STLD-T2401,"reason-codes,api-contract",Reason code registry is documented and schema-validated; API responses include reason codes and remediation hints; CLI/SDK display the same reason codes for the same failure.
STLD-T2403,STLD-E2401,Enforce policy runtime at MCP entry and bridge paths,Prevent MCP and bridge integrations from bypassing Trust OS runtime decisions.,MCP + Integrations,3d,Highest,S1,STLD-T2401,"mcp,enforcement,integrations",MCP tool calls cannot bypass policy runtime; MCP responses include decision metadata; integration tests cover allow/challenge/deny flows.
STLD-T2404,STLD-E2401,Add policy decision metrics and latency SLO instrumentation,Emit decision-volume and latency metrics with dashboards and actionable alerting thresholds.,DevOps + Observability,2d,High,S1,STLD-T2401,"observability,slo,policy-runtime",Metrics include decision counts by type/reason and latency p50/p95; dashboard is published; alerts fire when SLO thresholds are breached.
STLD-T2410,STLD-E2402,Enforce request binding for authorization tokens,Bind authorization artifacts to canonical request fingerprints and reject mutation/replay deterministically.,Backend Platform,4d,Highest,S1,STLD-T2401,"request-binding,replay-protection",Replay or request mutation attempts fail with stable error codes; fingerprint algorithm is versioned; strict and side-effecting vectors are added.
STLD-T2411,STLD-E2402,Bind policy and request hashes into decision records,Persist policy hash/version and request hash in every settlement decision record and verification artifact.,Backend Platform,2d,Highest,S1,STLD-T2410,"decision-records,evidence-binding",Decision records always include policy/version/request bindings; offline verification validates binding integrity.
STLD-T2412,STLD-E2402,Ship deterministic ReceiptBundle.v1 export,Export ReceiptBundle.v1 with canonical manifest and deterministic verification outputs for audit portability.,Protocol + Backend,4d,Highest,S2,STLD-T2411,"receipt-bundle,determinism,offline-verify",Receipt bundle contains decision/settlement/verification artifacts; strict offline verification passes; repeated export of identical evidence yields identical canonical hashes.
STLD-T2413,STLD-E2402,Add JS and Python SDK helpers for receipt export,"Provide ergonomic SDK APIs for receipt retrieval and export in JavaScript and Python, including smoke coverage.",SDK,3d,High,S2,STLD-T2412,"sdk,receipts,devex",JS and Python SDKs expose receipt export APIs; smoke tests cover end-to-end retrieval and verification from both SDKs.
STLD-T2420,STLD-E2403,Implement dispute case state machine,Implement deterministic dispute lifecycle transitions with idempotent semantics and signed append-only timelines.,Backend Platform,4d,Highest,S2,STLD-T2411,"disputes,state-machine",Case states support opened/evidence_collected/under_review/verdict_issued/closed; invalid transitions fail with stable codes; timeline is append-only and signed.
STLD-T2421,STLD-E2403,Implement verdict application pipeline,Map dispute verdicts to deterministic release/refund/reversal outcomes with idempotent processing guarantees.,Backend Platform,4d,Highest,S2,STLD-T2420,"verdicts,reversal,settlement",Each verdict deterministically maps to financial outcome; reversal ledger entries are balanced and idempotent; duplicate verdict processing cannot double-settle.
STLD-T2422,STLD-E2403,Expose dispute APIs and SDK wrappers,"Ship API and SDK support for opening disputes, attaching evidence, and issuing verdict actions.",API + SDK,3d,Highest,S2,STLD-T2420,"api,sdk,disputes",Dispute APIs are available with authz enforcement; JS/Python SDK wrappers and MCP tool surface are implemented; contract tests pass for happy and failure paths.
STLD-T2423,STLD-E2403,Add dispute SLA timers and escalation triggers,Track dispute aging windows and emit escalation events when SLA thresholds are exceeded.,Backend Platform,2d,High,S2,STLD-T2420,"sla,escalation,disputes",SLA timers run for all active disputes; threshold breaches emit escalation events; dashboard and alerting views show aging disputes.
STLD-T2430,STLD-E2404,Build operator inbox for challenged and escalated actions,Create operator queue UI with policy/evidence context and signed approve or deny actions.,Frontend,5d,Highest,S3,"STLD-T2401,STLD-T2422","operator-inbox,frontend,workflow",Operators can filter and review pending items by tenant/severity; approve and deny actions write signed immutable events; pagination and search are functional.
STLD-T2431,STLD-E2404,Implement emergency controls for active risk,"Add pause agent, quarantine, revoke delegation, and kill switch actions with audited execution and recovery controls.",Backend + Frontend,4d,Highest,S3,STLD-T2430,"emergency-controls,governance,safety",Emergency actions are auditable and idempotent; paused or quarantined agents cannot execute paid actions; recovery flow is documented and integration-tested.
STLD-T2432,STLD-E2404,Add operator decision audit export,Export operator actions for finance and compliance reviews with linked receipt and case references.,Backend,2d,High,S3,STLD-T2430,"audit,compliance,exports",Audit export includes actor timestamp reason action and linked receipt/case IDs; export format is machine-readable and deterministic across repeated runs.
STLD-T2440,STLD-E2405,Harden one production rail adapter lane,Select and productionize one adapter lane (`x402 + Stripe` or `x402 + AWAL`) under Trust OS policy and dispute enforcement.,Integrations,5d,Highest,S3,"STLD-T2403,STLD-T2412,STLD-T2421","adapters,hardening,rails",End-to-end adapter path enforces Trust OS decisions; settlement and receipts remain deterministic; replay and mutation attacks are rejected.
STLD-T2441,STLD-E2405,Add adapter conformance tests and CI gate,Create adapter conformance suite and block merges/releases on adapter regressions.,QA + Integrations,2d,High,S3,STLD-T2440,"conformance,ci,adapters",CI fails on adapter conformance regression; per-run conformance report artifact is generated and retained.
STLD-T2450,STLD-E2406,Implement profile schema hashing and signing contract,"Define policy profile schema (limits, allowlists, tiers, dispute defaults, compliance toggles) and stable profile hashing/signing.",Protocol + Backend,3d,Highest,S3,STLD-T2401,"profiles,schema,hashing",Profile schema validates expected policy dimensions; profile hash and signature are included in decision and receipt metadata.
STLD-T2451,STLD-E2406,Add CLI profile init validate and simulate commands,"Ship `settld profile init`, `settld profile validate`, and `settld profile simulate` with deterministic outputs.",CLI,4d,Highest,S3,STLD-T2450,"cli,profiles,simulation",Init command scaffolds valid profile manifests; validate performs schema+semantic checks; simulate produces deterministic outputs for identical inputs.
STLD-T2452,STLD-E2406,Ship three starter Trust OS profiles,Package and validate starter profiles for engineering-spend procurement and data-api-buyer workflows.,Product + Backend,3d,Highest,S4,STLD-T2451,"profiles,starter-kits,verticals",Three starter profiles are versioned and documented; simulation fixtures for all three pass in CI.
STLD-T2453,STLD-E2406,Publish profile docs and quickstart guides,"Publish profile authoring and simulation guides in docs with troubleshooting and migration examples.",Docs,2d,High,S4,STLD-T2452,"docs,profiles,quickstart",Docs include end-to-end usage and simulation examples; docs validation checks pass in CI.
STLD-T2460,STLD-E2407,Add security regression suite for core abuse paths,Automate replay token mutation bypass and unauthorized escalation abuse-path tests as a release blocker.,QA + Security,3d,Highest,S3,"STLD-T2410,STLD-T2431","security,regression,abuse-paths",Automated tests cover priority abuse paths; CI blocks release candidate promotion when any security regression fails.
STLD-T2461,STLD-E2407,Add deterministic dispute-to-reversal end-to-end test,Build CI E2E that exercises challenge approval execution receipt dispute verdict and reversal with trace artifacts.,QA,3d,Highest,S4,"STLD-T2422,STLD-T2430","e2e,determinism,disputes",E2E scenario runs in CI and emits trace artifacts; idempotency and deterministic outputs are asserted across repeat runs.
STLD-T2462,STLD-E2407,Enforce Trust OS v1 release gate checklist,Implement mandatory workflow checks for conformance receipts disputes adapters profiles and docs before tag publish.,DevOps,2d,Highest,S4,"STLD-T2460,STLD-T2461,STLD-T2441,STLD-T2453","release-gates,ci,trust-os",Tag publish is blocked when any required gate fails; release artifact bundle includes proof outputs for all gate checks.
STLD-T2470,STLD-E2408,Publish Trust OS v1 quickstart for first verified receipt under 15 minutes,"Create guided quickstart path across CLI and docs that gets a new builder from setup to verified receipt within 15 minutes.",DevEx + Docs,3d,Highest,S4,"STLD-T2413,STLD-T2453","adoption,quickstart,activation",Fresh environment runbook reaches first verified receipt in under 15 minutes; troubleshooting flow covers top setup failures; docs checks pass in CI.
STLD-T2471,STLD-E2408,Ship three reference integration blueprints with runbooks,"Publish production-like blueprints with runnable scripts and operator runbooks for three Trust OS v1 adoption scenarios.",DevEx + Integrations,4d,High,S4,"STLD-T2441,STLD-T2452","adoption,reference-integrations,runbooks",Three blueprints run end-to-end in CI with deterministic receipts; each blueprint includes operator runbook and incident rollback steps.
STLD-T2472,STLD-E2408,Instrument adoption funnel and pilot conversion dashboard,"Track activation and pilot conversion metrics (time-to-first-receipt, profile simulation completion, blueprint success rate, pilot conversion) with weekly reporting.",PM + Analytics,2d,High,S4,"STLD-T2470,STLD-T2471","adoption,analytics,pilots",Dashboard reports activation and conversion metrics daily; weekly review includes baseline and delta by cohort; metric definitions are documented and reproducible from raw events.
